,UR_M,UR_F,UR_P
01-02-1978,5.1,9.6,6.7
01-03-1978,5.0,7.5,5.9
01-04-1978,5.2,8.1,6.2
01-05-1978,5.0,8.5,6.3
01-06-1978,4.9,8.5,6.2
01-07-1978,5.8,8.3,6.7
01-08-1978,5.7,8.6,6.7
01-09-1978,5.8,8.2,6.6
01-10-1978,6.0,8.2,6.8
01-11-1978,6.0,8.9,7.0
01-12-1978,5.9,8.9,7.0
01-01-1979,6.1,9.3,7.2
01-02-1979,6.1,9.2,7.3
01-03-1979,5.7,9.1,6.9
01-04-1979,6.2,9.8,7.5
01-05-1979,6.1,9.4,7.3
01-06-1979,6.1,8.2,6.9
01-07-1979,6.2,10.0,7.6
01-08-1979,5.9,9.9,7.3
01-09-1979,5.9,9.5,7.2
01-10-1979,6.5,10.5,8.0
01-11-1979,6.0,9.5,7.3
01-12-1979,6.9,9.7,8.0
01-01-1980,6.2,8.7,7.1
01-02-1980,6.1,8.7,7.1
01-03-1980,5.2,8.5,6.5
01-04-1980,5.4,8.0,6.4
01-05-1980,5.6,8.1,6.5
01-06-1980,5.4,8.1,6.4
01-07-1980,5.2,7.6,6.1
01-08-1980,5.5,7.7,6.3
01-09-1980,5.1,7.7,6.0
01-10-1980,5.0,8.7,6.3
01-11-1980,4.7,7.2,5.6
01-12-1980,5.4,7.7,6.2
01-01-1981,5.0,7.5,5.9
01-02-1981,4.8,7.1,5.7
01-03-1981,5.1,7.6,6.0
01-04-1981,4.9,6.3,5.4
01-05-1981,5.1,7.1,5.8
01-06-1981,4.8,7.1,5.6
01-07-1981,4.6,7.3,5.6
01-08-1981,5.3,7.9,6.3
01-09-1981,5.7,8.1,6.6
01-10-1981,5.1,8.0,6.2
01-11-1981,5.7,8.2,6.6
01-12-1981,5.7,8.8,6.9
01-01-1982,5.9,9.2,7.1
01-02-1982,5.6,8.8,6.7
01-03-1982,5.6,9.3,7.0
01-04-1982,5.7,9.3,7.0
01-05-1982,5.9,8.9,7.0
01-06-1982,6.8,8.9,7.6
01-07-1982,7.2,8.3,7.6
01-08-1982,7.5,8.6,7.9
01-09-1982,7.7,7.4,7.6
01-10-1982,8.1,10.0,8.8
01-11-1982,8.4,9.2,8.7
01-12-1982,8.6,9.1,8.8
01-01-1983,8.8,9.9,9.2
01-02-1983,9.1,10.0,9.5
01-03-1983,9.9,8.5,9.4
01-04-1983,10.0,9.7,9.9
01-05-1983,9.8,9.6,9.7
01-06-1983,9.9,9.3,9.7
01-07-1983,10.0,10.0,10.0
01-08-1983,9.5,9.8,9.6
01-09-1983,10.3,10.3,10.3
01-10-1983,10.2,10.0,10.1
01-11-1983,10.7,10.1,10.5
01-12-1983,10.3,9.6,10.0
01-01-1984,9.8,9.2,9.6
01-02-1984,9.9,9.6,9.8
01-03-1984,10.6,8.9,10.0
01-04-1984,9.9,9.7,9.8
01-05-1984,9.5,9.6,9.5
01-06-1984,10.1,10.0,10.1
01-07-1984,9.5,10.0,9.7
01-08-1984,8.8,9.5,9.0
01-09-1984,9.3,10.1,9.6
01-10-1984,9.4,9.3,9.4
01-11-1984,8.0,9.5,8.6
01-12-1984,7.9,8.9,8.3
01-01-1985,8.2,8.0,8.2
01-02-1985,8.2,8.7,8.4
01-03-1985,8.0,9.3,8.5
01-04-1985,8.2,8.4,8.3
